structure_id,state,ligand_id,final_rank,seed,best_affinity,status,returncode
7LCJ,active,ZINCk500000gdMQW,5,29,-7.049,scored,0
7LCJ,active,ZINCk500000gdMQW,5,47,-7.03,scored,0
7LCJ,active,ZINCk600000EmAGZ,6,11,-8.559,scored,0
7LCJ,active,ZINCk600000EmAGZ,6,29,-8.519,scored,0
7LCJ,active,ZINCk600000EmAGZ,6,47,-8.44,scored,0
7LCJ,active,ZINCk5000003XjkE,7,11,-7.075,scored,0
7LCJ,active,ZINCk5000003XjkE,7,29,-7.208,scored,0
7LCJ,active,ZINCk5000003XjkE,7,47,-6.93,scored,0
7LCJ,active,ZINCk800000gvPBH,8,11,-6.834,scored,0
7LCJ,active,ZINCk800000gvPBH,8,29,-6.744,scored,0
7LCJ,active,ZINCk800000gvPBH,8,47,-6.827,scored,0
7LCJ,active,ZINCk600000Ja5bY,9,11,-8.324,scored,0
7LCJ,active,ZINCk600000Ja5bY,9,29,-8.363,scored,0
7LCJ,active,ZINCk600000Ja5bY,9,47,-8.704,scored,0
7LCJ,active,ZINCk600000y8tEo,10,11,-7.287,scored,0
7LCJ,active,ZINCk600000y8tEo,10,29,-7.252,scored,0
7LCJ,active,ZINCk600000y8tEo,10,47,-7.422,scored,0
