zinc_id,engine_H,ref_H,engine_O,ref_O,engine_cascade,ref_cascade
ZINCk600000gpFCy,38.34275944886656,38.34275944886656,25.817617517307102,25.817617517307106,30.827674289930883,30.827674289930883
ZINCj5000009g8AX,33.81239250864757,33.81239250864757,21.453367482140795,21.453367482140795,26.396977492743503,26.396977492743506
ZINCk8000004jGTY,38.70541191054433,38.70541191054433,17.57894473631363,17.57894473631363,26.029531606005907,26.029531606005907
ZINCk7000004eqJQ,33.81239250864757,33.81239250864757,17.715771016196122,17.715771016196122,24.154419613176703,24.154419613176703
ZINCk700000PzN3v,29.63794259251756,29.637942592517557,20.27608375643897,20.27608375643897,24.020827290870407,24.020827290870407
ZINCj6000002lFgR,31.939724457732837,31.939724457732833,19.66351719226777,19.663517192267772,24.5740000984538,24.574000098453798
ZINCi600000PCNZt,34.351665344695306,34.351665344695306,16.71332639724866,16.71332639724866,23.76866197622732,23.768661976227317
ZINCk500000gdvSv,36.783225624191815,36.783225624191815,24.44063594362303,24.44063594362303,29.377671815850547,29.377671815850547
ZINCk50000040A6B,34.168309532736544,34.168309532736544,22.305493854900764,22.305493854900764,27.050620126035074,27.050620126035074
ZINCk8000004jX0F,43.85518715862079,43.85518715862079,20.14455184283621,20.14455184283621,29.62880596915004,29.62880596915004
ZINCk50000042b3S,38.34275944886656,38.34275944886656,24.6027468998763,24.6027468998763,30.09875191947241,30.098751919472406
ZINCk6000004cN7B,35.895530351877184,35.895530351877184,16.85032719839197,16.85032719839197,24.46840845978605,24.468408459786055
ZINCj8000002qnQO,32.207787600796564,32.207787600796564,19.481465989652992,19.481465989652992,24.57199463411042,24.57199463411042
ZINCk7000004glke,34.168309532736544,34.168309532736544,19.17682441966457,19.17682441966457,25.17341846489336,25.17341846489336
ZINCk600000gpWAn,34.351665344695306,34.351665344695306,18.168527168345253,18.168527168345253,24.641782438885272,24.641782438885272
ZINCj600000BmkTG,35.21365088823171,35.21365088823171,18.4635148048348,18.463514804834798,25.163569238193567,25.163569238193567
ZINCk800000JTYjQ,37.18805111944532,37.18805111944532,16.098550651475612,16.098550651475612,24.534350838663496,24.534350838663496
ZINCj600000foKIy,34.74960601639999,34.74960601639999,16.928442745813058,16.928442745813058,24.056908054047828,24.056908054047828
ZINCk7000018ThKp,36.74488997860436,36.74488997860436,16.575546075902434,16.575546075902434,24.64328363698321,24.643283636983206
ZINCk600000goRLR,34.351665344695306,34.351665344695306,18.974433937470064,18.974433937470064,25.12532650036016,25.125326500360156
ZINCk8000004jnNf,34.74960601639999,34.74960601639999,17.12562124168529,17.12562124168529,24.17521515157117,24.17521515157117
ZINCk5000003ZO8S,32.391143412755326,32.391143412755326,18.627873291233996,18.627873291233993,24.13318133984253,24.13318133984253
ZINCk8000018TqKv,34.932961828358735,34.932961828358735,16.65598968172596,16.65598968172596,23.966778540379067,23.966778540379067
ZINCi500000y8HHM,34.74960601639999,34.74960601639999,20.699982844911364,20.699982844911364,26.319832113506813,26.319832113506813
ZINCk700000xc53e,40.91933989473438,40.91933989473438,23.503043407317907,23.503043407317907,30.46956200228449,30.469562002284494
ZINCj500000w0uVP,36.400729166333285,36.400729166333285,16.375648191326828,16.375648191326828,24.38568058132941,24.38568058132941
