ligand_id,weighted_coverage_pct,native_weighted_coverage_pct,screen_rank,native_rank,rank_shift,abs_rank_shift
ZINCk5000009G8c8,12.988255268767764,27.1614555648564,2188,235,1953,1953
ZINCk5000009CP3j,12.172012250726365,27.1614555648564,4874,236,4638,4638
ZINCk6000004dGDN,13.131092951084796,27.1614555648564,1746,237,1509,1509
ZINCk600001bQamW,14.741237361645643,27.1614555648564,123,238,-115,115
ZINCk5000009EyEd,12.367965972999668,27.1614555648564,4548,239,4309,4309
ZINCk600000gqybz,13.15669483165252,27.1614555648564,1693,240,1453,1453
ZINCk500000dq3XQ,13.491967347014386,27.1614555648564,1077,241,836,836
ZINCj500000fkoCi,14.175073624666512,27.1614555648564,369,242,127,127
ZINCj800000Py1d8,13.364833806024082,27.1614555648564,1291,243,1048,1048
ZINCj600000PwQir,12.962083881528702,27.1614555648564,2274,244,2030,2030
ZINCk600000BmKwq,12.471563740474812,27.1614555648564,4087,245,3842,3842
ZINCj700000FCQrT,13.15904751199074,27.1614555648564,1687,246,1441,1441
ZINCk7000004gbK4,13.10952194970749,27.1614555648564,1811,247,1564,1564
ZINCj700000JUnw3,12.621740055063125,27.1614555648564,3415,248,3167,3167
ZINCk5000009Ej45,13.343018011329589,27.1614555648564,1340,249,1091,1091
ZINCj500000c9ZV9,12.6736714599354,27.1614555648564,3215,250,2965,2965
ZINCj5000002gjZl,12.588875936586946,27.1614555648564,3550,251,3299,3299
ZINCk600000vvNDj,13.277638132759256,27.1614555648564,1456,252,1204,1204
ZINCk5000009CfUm,12.502872129879108,27.1614555648564,3912,253,3659,3659
ZINCk50000044BPE,13.354444698022109,27.1614555648564,1312,254,1058,1058
ZINCk500000dp1Bd,13.273546369878748,27.1614555648564,1464,255,1209,1209
ZINCk6000009Jh4H,12.695942418525089,27.1614555648564,3139,256,2883,2883
ZINCk600000GfE3P,14.259983430298416,27.1614555648564,326,257,69,69
ZINCj6000002mbN7,13.120679394799527,27.1614555648564,1774,258,1516,1516
ZINCj600000xcR5G,12.36668919744202,27.1614555648564,4559,259,4300,4300
ZINCk700000PCx1V,15.401647306203545,27.1614555648564,17,260,-243,243
ZINCk700000PAH1R,13.74215386519346,27.1614555648564,764,261,503,503
ZINCk500000geUYi,12.667966144673867,27.1614555648564,3232,262,2970,2970
ZINCk7000004ftlw,12.868869399941127,27.1614555648564,2553,263,2290,2290
ZINCk500000gaUjB,13.443652889321502,27.1614555648564,1158,264,894,894
ZINCk6000004dLJO,12.43571113799313,27.1614555648564,4244,265,3979,3979
ZINCj700000EngZ8,13.88349795521446,27.1614555648564,603,266,337,337
ZINCk800000PALtc,14.6585412448823,27.1614555648564,149,267,-118,118
ZINCk700001bOo4c,12.906237909180977,27.1614555648564,2449,268,2181,2181
ZINCk700000JUomB,12.731427498753826,27.1614555648564,3010,269,2741,2741
ZINCj5000002drKa,12.702158516395189,27.1614555648564,3123,270,2853,2853
ZINCk800001bQiRo,15.18963364896186,27.1614555648564,37,271,-234,234
ZINCk500000dpeLo,12.481214756666215,27.1614555648564,4036,272,3764,3764
ZINCk5000009GlA5,12.789657356043882,27.1614555648564,2791,273,2518,2518
ZINCk5000009F4Pb,12.345259156745284,27.1614555648564,4684,274,4410,4410
ZINCj700000d8ygR,13.003588803711422,27.1614555648564,2139,275,1864,1864
ZINCk5000009FUXU,12.121494592755951,27.1614555648564,4923,276,4647,4647
ZINCk50000047xTo,12.9443318949449,27.1614555648564,2329,277,2052,2052
ZINCk500000gfomp,12.915925147299852,27.1614555648564,2420,278,2142,2142
ZINCk500000ge2XO,12.058906074407588,27.1614555648564,4979,279,4700,4700
