zinc_id,smiles,mw,logp,hbd,hba,rotatable_bonds,lipinski,chemistry_flagged,pains_alert,reactive_flags,hotspot_weighted_pct,hotspot_bits_matched,hotspot_exact_matches,hotspot_compatible_matches,hotspot_exact_residue_count,hotspot_group_count,hotspot_required_groups_pass,native_supported_hotspot_bits_matched,native_supported_hotspot_exact_matches,native_supported_hotspot_exact_residue_count,native_supported_hotspot_weighted_pct,pair_hash_overlap_pct,pair_hash_recall_pct,pair_hash_precision_pct,cascade_score_pct,shortlist_rank
ZINCf5000002oTSi,CN(N)C(=O)CN=c1ccc(C#N)c[nH]1,205.221,-0.8808199999999993,2,4,2,1,0,,,26.221409534420943,9,4,5,4,2,1,0,0,0,0.0,11.903590519218035,6.966410699211316,40.86538461538461,15.483045273018764,1090
ZINCf5000003q60p,N#CCONC(=O)NCC1[C@@H]2COC[C@@H]12,211.22099999999998,-0.36682000000000015,2,4,4,1,0,,,26.828061033850414,10,6,4,6,3,1,2,2,2,15.726841794277618,11.701256221539449,6.920676073030631,37.83970757053955,15.482957424617192,1091
ZINCf5000002s1VG,COC1CC(C(=O)NC[C@H](O)CCN)C1,216.28099999999995,-0.7626999999999986,3,4,6,1,0,,,27.274089312539918,10,6,4,6,4,1,2,2,2,15.726841794277618,11.551497333515199,6.872717992911999,36.186145626988406,15.482145328271379,1092
ZINCf5000000ajhL,NCCNCC(=O)NCc1n[nH]cc1Br,276.13800000000003,-0.6633,4,4,6,1,0,,,30.988353269712636,10,6,4,6,4,1,1,1,1,12.482313916606609,10.311402858585822,6.251254008174922,29.41857820982918,15.480640461367527,1093
ZINCf5000002e7t7,CO[C@H](C)C(=O)NCCCOCCCN,218.29699999999994,-0.10699999999999832,2,4,9,1,0,,,23.686326556406325,9,4,5,4,3,1,1,1,1,7.932521475509632,12.744020521405428,7.413048836510774,45.37394131881427,15.47959703015565,1094
ZINCf50000009UDV,C[C@H](CCO)CNCCC(=O)NC(N)=O,217.26899999999998,-0.8204999999999982,4,4,7,1,0,,,25.313567380599945,9,5,4,5,4,1,1,1,1,7.932521475509632,12.20071675526227,7.146585942661004,41.67041366906476,15.47892941159669,1095
ZINCf500000098Mk,CC[C@H](O)CNC(=O)c1cnc(O)n1C,213.23700000000002,-0.37360000000000015,3,5,4,1,0,,,29.843934320818928,10,6,4,6,4,1,1,1,1,7.932521475509632,10.689923667774138,6.331392473023911,34.3065693430657,15.478426331035337,1096
ZINCf5000000aq5e,O=C(N=c1cco[nH]1)N[C@H]1CCNC1=O,210.19299999999996,-0.8935000000000006,3,3,1,1,0,,,30.395859450550955,10,5,5,5,3,1,0,0,0,0.0,10.50332903846318,6.281499125803455,32.03264473348636,15.476461641485123,1097
ZINCf50000034YKG,C=C[C@H](O)CNC(=O)c1noc(N)c1C,211.22099999999998,-0.15808000000000022,3,5,4,1,0,,,29.843934320818928,10,6,4,6,4,1,1,1,1,7.932521475509632,10.686655951866282,6.331392473023911,34.23937063555201,15.475975544104442,1098
ZINCf50000009uKD,COCCN(CC(N)=O)Cc1cocn1,213.237,-0.3916999999999988,1,5,7,1,0,,,29.397906042129424,10,6,4,6,3,1,1,1,1,7.932521475509632,10.835032046427882,6.4217039294527725,34.644595616024176,15.475750545353268,1099
