zinc_id,smiles,mw,logp,hbd,hba,rotatable_bonds,lipinski,chemistry_flagged,pains_alert,reactive_flags,hotspot_weighted_pct,hotspot_bits_matched,hotspot_exact_matches,hotspot_compatible_matches,hotspot_exact_residue_count,hotspot_group_count,hotspot_required_groups_pass,native_supported_hotspot_bits_matched,native_supported_hotspot_exact_matches,native_supported_hotspot_exact_residue_count,native_supported_hotspot_weighted_pct,pair_hash_overlap_pct,pair_hash_recall_pct,pair_hash_precision_pct,cascade_score_pct,shortlist_rank
ZINCk800000JUqnd,O=C(NCc1nnc(CO)s1)c1cc([N+](=O)[O-])ccn1,295.28000000000003,0.26359999999999983,2,8,5,1,0,,,48.677564434215746,13,10,3,10,3,1,0,0,0,0.0,23.85592293291262,15.194972562198656,55.4773283267907,30.061333308238403,59
ZINCk50000041b6k,COCC[C@@H](N)Cc1cn(Cc2ncoc2CN)nn1,280.33199999999994,-0.32059999999999883,2,8,8,1,0,,,34.36755309031767,12,7,5,7,3,1,0,0,0,0.0,28.607474180988884,18.10969460462691,68.0607467245398,30.047493908321083,60
ZINCk50000041ja5,COC[C@@H](N)Cc1cn(Cc2nc(C(N)=O)cs2)nn1,296.356,-0.6019999999999999,2,8,7,1,0,,,36.43612723924259,12,7,5,7,3,1,0,0,0,0.0,27.853923739194496,18.017619449339357,61.342386684852436,29.999474614206523,61
ZINCk6000004dGDK,NC(=O)c1cnc(NC(=O)CCCCCS(N)(=O)=O)s1,320.396,0.02939999999999976,3,6,8,1,0,,,35.61089483421299,12,7,5,7,3,1,0,0,0,0.0,28.111153089304175,18.322098336776822,60.36009381378553,29.98608852553138,62
ZINCk800000PC3Tk,OCCCNc1cc(=NCc2nnc(CO)s2)[nH]cn1,296.35599999999994,-0.3513000000000008,4,8,7,1,0,,,38.55324224087713,12,7,5,7,3,1,0,0,0,0.0,27.12435784655465,17.71707772740082,57.83105424809752,29.98157894513527,63
ZINCk800000FCBLz,COCCOCc1ocnc1C(=O)Nc1nnc(O)s1,300.296,0.6469999999999998,2,9,7,1,0,,,40.14744452357138,13,8,5,8,3,1,0,0,0,0.0,26.55776915267622,17.903666319256992,51.40582448257081,29.955187995400006,64
ZINCk8000004gmJw,Cc1nnc(NNC(=O)c2ccc([N+](=O)[O-])s2)nc1O,296.26800000000003,0.6122199999999995,3,9,4,1,0,,,46.82874835576401,12,9,3,9,3,1,0,0,0,0.0,24.227590150088616,15.313117287286165,57.98101987618115,29.877879701507464,65
ZINCk800000gv7ra,C[C@@H](NC(=O)CCCCCc1nn[nH]n1)c1nc[nH]n1,278.32,0.2980999999999995,3,6,8,1,0,,,36.56070220317205,12,7,5,7,3,1,0,0,0,0.0,27.618681231669758,17.96828052581524,59.661863703875184,29.85418647454533,66
ZINCk50000045enc,Cc1noc(CCCC(=O)Nc2n[nH]c(CCN)n2)n1,279.304,-0.04127999999999965,3,7,7,1,0,,,36.56070220317205,12,7,5,7,3,1,0,0,0,0.0,27.573475040777375,17.761345189155005,61.60884910884911,29.820281831376043,67
ZINCk800000JTLZG,COCCCn1cc(C(=O)OCc2nc(=N)o[nH]2)cn1,281.272,0.07216999999999973,2,8,7,1,0,,,36.43612723924259,12,7,5,7,3,1,0,0,0,0.0,27.600668764560833,17.766736584876785,61.81594634873323,29.80953338323127,68
ZINCk7000004gUvH,O=C(O)Cn1cc(CCCNC(=O)c2cncs2)nn1,295.324,0.1817999999999998,2,7,7,1,0,,,36.43612723924259,12,7,5,7,3,1,0,0,0,0.0,27.582928911340165,17.98569179800917,59.140577965081285,29.79622849331577,69
ZINCk7000004fgjZ,COC(=O)C[C@H](O)CNc1ncc([N+](=O)[O-])cc1C#N,280.24,0.1973799999999995,2,8,6,1,0,,,45.670361336569684,13,10,3,10,3,1,0,0,0,0.0,24.43886322632386,15.266483912627995,61.222367655613716,29.746737753885316,70
ZINCk500000464Qq,N=C(O)OCCCNC(=O)COCc1ccnc(O)c1,283.284,0.3194699999999996,4,6,8,1,0,,,35.61089483421299,12,7,5,7,3,1,0,0,0,0.0,27.764670960514298,18.156437347496123,58.97233201581027,29.72622692893897,71
