stage3_screen_rank,zinc_id,smiles,coverage_pct,anchor_weighted_pct,geometry_penalty_factor,weighted_coverage_pct,features_matched,mw,logp,hbd,hba,rotatable_bonds,lipinski,chemistry_flagged,pains_alert,reactive_flags,hotspot_weighted_pct,hotspot_bits_matched,hotspot_exact_matches,hotspot_compatible_matches,hotspot_exact_residue_count,hotspot_group_count,hotspot_required_groups_pass,native_supported_hotspot_bits_matched,native_supported_hotspot_exact_matches,native_supported_hotspot_exact_residue_count,native_supported_hotspot_weighted_pct,pair_hash_overlap_pct,pair_hash_recall_pct,pair_hash_precision_pct,cascade_score_pct,shortlist_rank,rerank_conformers,best_conformer_id,fit_rmsd_angstrom,mean_pair_distance_error_angstrom,reference_feature_span_angstrom,ligand_feature_span_angstrom,rerank_query_feature_count
33,ZINCk500000dpM9s,Cn1cc([N+](=O)[O-])c(OCC(=O)OCCOCCO)n1,17.857142857142858,18.614658157328254,0.7305827418515493,13.599547995210184,5,289.24399999999997,-0.7407999999999999,1,9,9,1,,,,30.094957272000688,9,5,4,5,2,1,,,,,8.436308911570599,5.359365970575088,19.80932820602459,13.85097100167812,59,16,1,1.342374687006628,1.2298909240186764,7.8947932208513265,6.9379297106884135,28
34,ZINCk800000J9VdZ,CCn1cncc1COC(=O)Cc1nc([N+](=O)[O-])n[nH]1,17.857142857142858,18.614658157328254,0.729570428221822,13.580704123044807,5,280.2439999999999,0.21519999999999967,1,8,6,1,,,,30.71184253871794,9,5,4,5,2,1,,,,,10.331502611801223,6.39405409221875,26.890839656797095,15.4265875935304,32,16,3,1.4894448707107786,1.1770474199807477,7.8947932208513265,7.260011621945166,28
35,CHEMBL462830,COc1ccccc1-c1cc(C(=O)N[C@@H](CC(C)C)C(=O)O)nn1-c1ccnc2cc(Cl)ccc12,17.857142857142858,19.333574592865542,0.7013104199877774,13.558837317587557,5,492.96300000000014,4.978600000000004,2,6,8,1,,,,33.39071482145173,11,5,6,5,2,1,,,,,17.631820105975198,12.886994082778576,27.90671473636775,21.571543784844334,7,16,11,1.884980035212339,1.0762625522787743,10.122770668152079,10.588200565176997,28
36,ZINCk800000guPfo,COCCc1nc(-c2ccc3nc(O)[nH]c3n2)n(C)n1,17.857142857142858,18.33427000149602,0.7393120494707075,13.554746730355333,5,274.28400000000005,0.6478999999999998,2,7,4,1,,,,23.50426427259268,8,3,5,3,2,1,,,,,9.815980128171624,6.0906821357853556,25.275393419170243,13.238051164276888,85,16,6,1.5913282702896403,1.052372783703459,13.087058989704293,12.589180607852452,28
37,ZINCj7000002nQur,COC[C@@H](CO)Nc1nccc(C(=O)O)c1[N+](=O)[O-],17.857142857142858,18.614658157328254,0.7279359550383352,13.55027896346688,5,271.229,0.10720000000000018,3,7,7,1,,,,31.82571746489658,10,4,6,4,2,1,,,,,6.679668639127113,4.240655174932224,15.72242206235012,12.96618084556948,95,16,15,1.64686244272502,1.078614760371473,7.8947932208513265,8.437176940549326,28
38,ZINCk800000cvz8e,CN(C)C1CN(C(=O)c2cc(-c3cnccn3)[nH]n2)C1,17.857142857142858,18.614658157328254,0.72568385154716,13.508356826843727,5,272.31200000000007,0.2526999999999993,1,5,3,1,,,,23.003440943939186,8,3,5,3,2,1,,,,,6.674157953094855,4.332896157616877,14.519951001064326,10.756478700805937,233,16,11,1.6060851922440826,1.1517438891792091,7.8947932208513265,8.00782928216737,28
39,ZINCk8000004iyOq,COCCN(CC(N)=O)Cc1nc(-c2ccco2)no1,14.285714285714286,15.914021874444002,0.8473352097799355,13.48451106342449,4,280.284,0.26330000000000037,1,7,8,1,,,,23.003440943939186,8,3,5,3,2,1,,,,,8.25267477537381,5.347984998223495,18.063793729572687,11.940366317515155,154,16,10,1.0230247472269827,0.8131058111650299,10.122770668152079,9.788833613460461,28
40,ZINCk600001bOrCw,CC[C@@H](O)C(=O)NC[C@H](C)Nc1ncc([N+](=O)[O-])cn1,17.857142857142858,18.614658157328254,0.7238894720602996,13.4749550660913,5,283.28800000000007,0.0722999999999992,3,7,7,1,,,,28.442755298690493,9,3,6,3,2,1,,,,,8.767281701637874,5.320430361464332,24.896580940988834,13.68615010090103,66,16,11,1.4225885768617654,1.2161573402087114,7.8947932208513265,6.946221016055827,28
41,ZINCj700000JWx8s,COCC[S@](=O)CCNC(=O)c1cc([N+](=O)[O-])sn1,17.857142857142858,18.646621874888975,0.7216642545746188,13.456600475676533,5,307.353,0.1762000000000002,1,7,8,1,,,,32.30636850213371,9,6,3,6,3,1,,,,,8.895588195039544,5.7344993206585855,19.82262275149305,14.748283271813085,42,16,8,1.367464564301665,1.0837891518697587,10.122770668152079,8.373620532731257,28
42,ZINCk8000004jKsj,N#CCN1CCN(C(=O)c2cnc3c[nH]nc3c2)CC1,14.285714285714286,15.195105438906717,0.8854076171188974,13.453862098532793,4,270.29600000000005,0.23927999999999955,1,5,2,1,,,,23.003440943939186,8,3,5,3,2,1,,,,,10.64766235685107,6.966161154575516,22.581738437001604,13.736607003623098,62,16,13,0.7743191947944166,0.7249467362064109,7.8947932208513265,8.39529457818881,28
