stage3_screen_rank,zinc_id,smiles,coverage_pct,anchor_weighted_pct,geometry_penalty_factor,weighted_coverage_pct,features_matched,mw,logp,hbd,hba,rotatable_bonds,lipinski,chemistry_flagged,pains_alert,reactive_flags,hotspot_weighted_pct,hotspot_bits_matched,hotspot_exact_matches,hotspot_compatible_matches,hotspot_exact_residue_count,hotspot_group_count,hotspot_required_groups_pass,native_supported_hotspot_bits_matched,native_supported_hotspot_exact_matches,native_supported_hotspot_exact_residue_count,native_supported_hotspot_weighted_pct,pair_hash_overlap_pct,pair_hash_recall_pct,pair_hash_precision_pct,cascade_score_pct,shortlist_rank,rerank_conformers,best_conformer_id,fit_rmsd_angstrom,mean_pair_distance_error_angstrom,reference_feature_span_angstrom,ligand_feature_span_angstrom,rerank_query_feature_count,pool_source_stage3_rank,pool_source_hotspot_breadth,pool_source_native_support,pool_primary_source,murcko_scaffold,native_candidate_pool_rank,native_selection_rank,source_input_rank
230,ZINCk5000003ZdHK,CN1CNC(=O)C12CN(c1nccc3nccnc13)C2,14.285714285714286,15.88205815688328,0.7126098649346901,11.317711318061487,4,270.2960000000001,-0.3972999999999995,1,6,1,1,,,,23.003440943939182,8,3,5,3,2,1,,,,,7.666965074829505,4.790899146126466,19.182692307692307,11.501084042106925,199,16,1,1.4314410044727888,1.3540389915290996,6.493394566788621,6.825167729408328,28,1,0,1,stage3_rank,O=C1NCNC12CN(c1nccc3nccnc13)C2,272,240,240
188,ZINCk7000018Snf5,Cc1cn2nccc2c(C(=O)NC[C@H]2COCCO2)n1,14.285714285714286,15.924846448928484,0.7345478971290706,11.697562471163767,4,276.29599999999994,0.1829199999999997,1,6,3,1,,,,23.003440943939182,8,3,5,3,2,1,,,,,7.546625826270792,4.921594295715742,16.172617261726177,11.41082960568789,203,16,2,1.2263936483481004,1.203849866584514,9.866748856639653,8.508597198511193,28,1,0,1,stage3_rank,O=C(NCC1COCCO1)c1nccn2nccc12,273,241,241
45,ZINCk800000cvz8e,CN(C)C1CN(C(=O)c2cc(-c3cnccn3)[nH]n2)C1,17.857142857142858,18.61465815732825,0.72568385154716,13.508356826843729,5,272.31200000000007,0.2526999999999993,1,5,3,1,,,,23.003440943939182,8,3,5,3,2,1,,,,,6.674157953094855,4.332896157616877,14.519951001064326,10.756478700805935,245,16,11,1.6060851922440826,1.1517438891792091,7.8947932208513265,8.00782928216737,28,1,0,1,stage3_rank,O=C(c1cc(-c2cnccn2)[nH]n1)N1CCC1,274,242,242
83,CHEMBL1461496,Cc1cc(C)n(-c2nc(Nc3ccccc3C)nc(-n3nc(C)cc3C)n2)n1,17.857142857142858,19.333574592865546,0.6671529458451622,12.898451243347427,5,374.4520000000001,3.528700000000001,1,8,4,1,,,,22.96464640313309,7,4,3,4,2,1,,,,,8.172229026242677,5.068074145383844,21.089188026307703,11.870333370465282,172,16,3,1.7222935313994887,1.2471406774694258,10.12277066815208,8.608453184412515,28,1,0,1,stage3_rank,c1ccc(Nc2nc(-n3cccn3)nc(-n3cccn3)n2)cc1,275,243,243
80,ZINCk6000004cGEJ,COCCOCCONC(=O)c1cc(S(C)(=O)=O)co1,17.857142857142858,18.64662187488897,0.6922853733713039,12.908783586771037,5,307.32400000000007,0.0075000000000005,1,7,9,1,,,,22.38655567722194,8,3,5,3,2,1,,,,,7.338026812601852,4.980221940262626,13.935617860851504,11.100159028756874,224,16,5,1.8137455301650187,1.188089417372321,10.12277066815208,10.63313900927152,28,1,0,1,stage3_rank,c1ccoc1,276,244,244
129,ZINCk600000gqzjL,O=C(Cn1cc(-c2cncs2)nn1)N[C@@H]1CC[S@@](=O)C1,17.857142857142858,18.000831201590312,0.6861257679877099,12.350834132608282,5,311.39200000000005,0.0388000000000001,1,7,4,1,,,,22.000854840052103,7,3,4,3,2,1,,,,,8.412380607192667,4.932324887134584,28.57087044850758,11.809499165407528,175,16,8,1.4268532305624302,1.456843396044878,12.25246595588006,11.307837435430107,28,1,0,1,stage3_rank,O=C(Cn1cc(-c2cncs2)nn1)NC1CCS(=O)C1,277,245,245
112,ZINCj7000009jEVR,CC[S@@](=O)CC(=O)NCc1cn(-c2nccs2)nn1,14.285714285714286,15.924846448928484,0.789057068721233,12.565612658827249,4,299.38100000000003,0.1085999999999993,1,7,6,1,,,,22.000854840052103,7,3,4,3,2,1,,,,,7.5363119448494915,4.513245181376291,22.824933687002652,11.152447668650144,220,16,14,1.1520902728776636,1.0436119163266313,9.866748856639653,9.175597585800116,28,1,0,1,stage3_rank,c1cn(-c2nccs2)nn1,278,246,246
123,ZINCk7000004eFYM,CCOC(=O)c1noc(C[S@](=O)Cc2n[nH]c(C)n2)n1,14.285714285714286,15.195105438906715,0.8168683616124672,12.41240088440842,4,299.312,0.1217200000000001,1,8,6,1,,,,22.000854840052103,7,3,4,3,2,1,,,,,6.851884115718919,4.124689946361034,20.223243598161524,10.639126796802216,255,16,4,1.119399060395919,0.843009647129772,7.8947932208513265,8.888043260014364,28,1,0,1,stage3_rank,O=S(Cc1nc[nH]n1)Cc1ncno1,279,247,247
29,CHEMBL1594369,CCOC(=O)/C(=C\c1cccc(O)c1)c1nc(O)c2c(C)c(C)sc2n1,17.857142857142858,18.61465815732825,0.7633924383023696,14.21028927888791,5,370.4300000000001,3.8230400000000015,2,7,4,1,,,,21.75531246591187,7,3,4,3,2,1,,,,,8.093208039956002,4.902574984675607,23.17693059628543,11.508734146444969,196,16,13,1.3792676017907692,1.0546670305926562,7.8947932208513265,8.451518920850866,28,1,0,1,stage3_rank,C(=Cc1ncc2ccsc2n1)c1ccccc1,280,248,248
140,ZINCk700000grTGp,CN(C)c1cncc(NC(=O)CN2CCS(=O)CC2)c1,14.285714285714286,16.750860837028807,0.734097687177941,12.296768198702395,4,296.396,0.1504000000000003,1,5,4,1,,,,21.42547633865539,7,3,4,3,2,1,,,,,5.755071527895373,3.728337900025008,12.609777517564403,9.672672730585376,317,16,7,1.499843015270875,1.1790780056395624,9.983293144048217,9.96915149806451,28,1,0,1,stage3_rank,O=C(CN1CCS(=O)CC1)Nc1cccnc1,285,249,249
