system,shortlist_fraction,n_native_scored,n_actives_retained,active_retention,compute_reduction,n_input,n_actives_input,n_candidates
GHSR,0.023013286657898636,7,5,0.1,4507.142857142857,31550,50,267
GHSR,0.025175560919672622,7,5,0.1,4507.142857142857,31550,50,267
GHSR,0.027540997383031812,8,5,0.1,3943.75,31550,50,267
GHSR,0.030128684690375863,9,6,0.12,3505.5555555555557,31550,50,267
GHSR,0.03295950500802676,9,6,0.12,3505.5555555555557,31550,50,267
GHSR,0.036056302541516254,10,6,0.12,3155.0,31550,50,267
GHSR,0.03944406788417312,11,7,0.14,2868.181818181818,31550,50,267
GHSR,0.043150139686669885,12,8,0.16,2629.1666666666665,31550,50,267
GHSR,0.04720442527496569,13,8,0.16,2426.923076923077,31550,50,267
GHSR,0.05,14,9,0.18,2253.5714285714284,31550,50,267
GHSR,0.05163964199699178,14,9,0.18,2253.5714285714284,31550,50,267
GHSR,0.05649158124570375,16,10,0.2,1971.875,31550,50,267
GHSR,0.06179939728911861,17,10,0.2,1855.8823529411766,31550,50,267
GHSR,0.06760592323814218,19,10,0.2,1660.5263157894738,31550,50,267
GHSR,0.07395801670199038,20,10,0.2,1577.5,31550,50,267
GHSR,0.08090693792058029,22,10,0.2,1434.090909090909,31550,50,267
GHSR,0.08850876342535115,24,11,0.22,1314.5833333333333,31550,50,267
GHSR,0.09682483856668235,26,11,0.22,1213.4615384615386,31550,50,267
GHSR,0.10592227255972307,29,12,0.24,1087.9310344827586,31550,50,267
GHSR,0.11587448004356327,31,12,0.24,1017.741935483871,31550,50,267
GHSR,0.1267617735240295,34,14,0.28,927.9411764705883,31550,50,267
GHSR,0.1386720114810124,38,16,0.32,830.2631578947369,31550,50,267
GHSR,0.1517013073704331,41,16,0.32,769.5121951219512,31550,50,267
GHSR,0.16595480524236655,45,16,0.32,701.1111111111111,31550,50,267
GHSR,0.1815475282344179,49,18,0.36,643.8775510204082,31550,50,267
GHSR,0.19860530678754051,54,18,0.36,584.2592592592592,31550,50,267
GHSR,0.21726579407482824,59,19,0.38,534.7457627118644,31550,50,267
GHSR,0.23767957683760663,64,21,0.42,492.96875,31550,50,267
GHSR,0.2600113905930703,70,22,0.44,450.7142857142857,31550,50,267
GHSR,0.2844414490199701,76,23,0.46,415.13157894736844,31550,50,267
GHSR,0.3111668982502514,84,26,0.52,375.5952380952381,31550,50,267
GHSR,0.340403407802512,91,27,0.54,346.7032967032967,31550,50,267
GHSR,0.3723869109958247,100,27,0.54,315.5,31550,50,267
GHSR,0.4073755088887481,109,27,0.54,289.44954128440367,31550,50,267
GHSR,0.44565155310796406,119,27,0.54,265.12605042016804,31550,50,267
GHSR,0.4875239243745958,131,28,0.56,240.83969465648855,31550,50,267
GHSR,0.5333305251154955,143,28,0.56,220.62937062937064,31550,50,267
GHSR,0.5834410062744237,156,28,0.56,202.24358974358975,31550,50,267
GHSR,0.6382597503279897,171,28,0.56,184.50292397660817,31550,50,267
GHSR,0.6982291345787537,187,30,0.6,168.71657754010695,31550,50,267
GHSR,0.7638331010596642,204,30,0.6,154.65686274509804,31550,50,267
GHSR,0.8356010618583211,224,30,0.6,140.84821428571428,31550,50,267
GHSR,0.9141121713763147,245,30,0.6,128.77551020408163,31550,50,267
GHSR,1.0,267,30,0.6,118.16479400749064,31550,50,267
NTSR1,0.005,2,2,0.04,15775.0,31550,50,384
NTSR1,0.005469788234491888,3,3,0.06,10516.666666666666,31550,50,384
NTSR1,0.005983716666037179,3,3,0.06,10516.666666666666,31550,50,384
